id,"idcounty","idmuni","municipality","logo"
1,"01","0118","Aremark","Aremark.png"
2,"01","0124","Askim","Askim.png"
3,"01","0125","Eidsberg","Eidsberg.png"
4,"01","0106","Fredrikstad","Fredrikstad.png"
5,"01","0101","Halden","Halden.png"
6,"01","0138","Hobøl","Hoboel.png"
7,"01","0111","Hvaler","Hvaler.png"
8,"01","0119","Marker","Marker.png"
9,"01","0104","Moss","Moss.png"
10,"01","0128","Rakkestad","Rakkestad.png"
11,"01","0136","Rygge","Rygge.png"
12,"01","0121","Rømskog","Roemskog.png"
13,"01","0135","Råde","Raade.png"
14,"01","0105","Sarpsborg","Sarpsborg.png"
15,"01","0127","Skiptvet","Skiptvet.png"
16,"01","0123","Spydeberg","Spydeberg.png"
17,"01","0122","Trøgstad","Troegstad.png"
18,"01","0137","Våler","Vaaler_Oestfold.png"
19,"02","0220","Asker","Asker.png"
20,"02","0221","Aurskog-Høland","Aurskog-Hoeland.png"
21,"02","0219","Bærum","Baerum.png"
22,"02","0237","Eidsvoll","Eidsvoll.png"
23,"02","0229","Enebakk","Enebakk.png"
24,"02","0227","Fet","Fet.png"
25,"02","0215","Frogn","Frogn.png"
26,"02","0234","Gjerdrum","Gjerdrum.png"
27,"02","0239","Hurdal","Hurdal.png"
28,"02","0230","Lørenskog","Loerenskog.png"
29,"02","0238","Nannestad","Nannestad.png"
30,"02","0236","Nes","Nes_Akershus.png"
31,"02","0216","Nesodden","Nesodden.png"
32,"02","0233","Nittedal","Nittedal.png"
33,"02","0217","Oppegård","Oppegaard.png"
34,"02","0228","Rælingen","Raelingen.png"
35,"02","0231","Skedsmo","Skedsmo.png"
36,"02","0213","Ski","Ski.png"
37,"02","0226","Sørum","Soerum.png"
38,"02","0235","Ullensaker","Ullensaker.png"
39,"02","0211","Vestby","Vestby.png"
40,"02","0214","Ås","Aas.png"
41,"03","0301","Oslo","Oslo.png"
42,"04","0438","Alvdal","Alvdal.png"
43,"04","0420","Eidskog","Eidskog.png"
44,"04","0427","Elverum","Elverum.png"
45,"04","0434","Engerdal","Engerdal.png"
46,"04","0439","Folldal","Folldal.png"
47,"04","0423","Grue","Grue.png"
48,"04","0403","Hamar","Hamar.png"
49,"04","0402","Kongsvinger","Kongsvinger.png"
50,"04","0415","Løten","Loeten.png"
51,"04","0418","Nord-Odal","Nord-Odal.png"
52,"04","0441","Os","Os_Hedmark.png"
53,"04","0432","Rendalen","Rendalen.png"
54,"04","0412","Ringsaker","Ringsaker.png"
55,"04","0417","Stange","Stange.png"
56,"04","0430","Stor-Elvdal","Stor-Elvdal.png"
57,"04","0419","Sør-Odal","Soer-Odal.png"
58,"04","0436","Tolga","Tolga.png"
59,"04","0428","Trysil","Trysil.png"
60,"04","0437","Tynset","Tynset.png"
61,"04","0426","Våler","Vaaler_Hedmark.png"
62,"04","0429","Åmot","Aamot.png"
63,"04","0425","Åsnes","Aasnes.png"
64,"05","0511","Dovre","Dovre.png"
65,"05","0541","Etnedal","Etnedal.png"
66,"05","0522","Gausdal","Gausdal.png"
67,"05","0502","Gjøvik","Gjoevik.png"
68,"05","0534","Gran","Gran.png"
69,"05","0532","Jevnaker","Jevnaker.png"
70,"05","0512","Lesja","Lesja.png"
71,"05","0501","Lillehammer","Lillehammer.png"
72,"05","0514","Lom","Lom.png"
73,"05","0533","Lunner","Lunner.png"
74,"05","0542","Nord-Aurdal","Nord-Aurdal.png"
75,"05","0516","Nord-Fron","Nord-Fron.png"
76,"05","0538","Nordre Land","Nordre_Land.png"
77,"05","0520","Ringebu","Ringebu.png"
78,"05","0517","Sel","Sel.png"
79,"05","0513","Skjåk","Skjaak.png"
80,"05","0536","Søndre Land","Søndre_Land.png"
81,"05","0540","Sør-Aurdal","Soer-Aurdal.png"
82,"05","0519","Sør-Fron","Soer-Fron.png"
83,"05","0545","Vang","Vang.png"
84,"05","0543","Vestre Slidre","Vestre_Slidre.png"
85,"05","0529","Vestre Toten","Vestre_Toten.png"
86,"05","0515","Vågå","Vaagaa.png"
87,"05","0528","Østre Toten","Oestre_Toten.png"
88,"05","0521","Øyer","Oeyer.png"
89,"05","0544","Øystre Slidre","Oeystre_Slidre.png"
90,"06","0602","Drammen","Drammen.png"
91,"06","0631","Flesberg","Flesberg.png"
92,"06","0615","Flå","Flaa.png"
93,"06","0617","Gol","Gol.png"
94,"06","0618","Hemsedal","Hemsedal.png"
95,"06","0620","Hol","Hol.png"
96,"06","0612","Hole","Hole.png"
97,"06","0628","Hurum","Hurum.png"
98,"06","0604","Kongsberg","Kongsberg.png"
99,"06","0622","Krødsherad","Kroedsherad.png"
100,"06","0626","Lier","Lier.png"
101,"06","0623","Modum","Modum.png"
102,"06","0625","Nedre Eiker","Nedre_Eiker.png"
103,"06","0616","Nes","Nes_Buskerud.png"
104,"06","0633","Nore og Uvdal","Nore_og_Uvdal.png"
105,"06","0605","Ringerike","Ringerike.png"
106,"06","0632","Rollag","Rollag.png"
